,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
cnicu/t5-small-booksum,0.0,0.15015673981191224,0.10476190476190476,0.14106583072100315
sshleifer/distilbart-cnn-6-6,0.0,0.28116047694995067,0.13634381771171575,0.24567418546365918
Falconsai/medical_summarization,0.0,0.17348484848484852,0.1259467040673212,0.16136363636363638
Cohee/bart-factbook-summarization,0.0,0.5154683131483103,0.3866987829614605,0.43683167285616176
lidiya/bart-large-xsum-samsum,0.0,0.5449072602013779,0.36952741702741704,0.4441865394806571
