Unnamed: 0,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Topsis Score,Rank
cnicu/t5-small-booksum,0.0,0.1501567398119122,0.1047619047619047,0.1410658307210031,0.5667390381802923,2.0
sshleifer/distilbart-cnn-6-6,0.0,0.2811604769499506,0.1363438177117157,0.2456741854636591,0.468226032058393,3.0
Falconsai/medical_summarization,0.0,0.1734848484848485,0.1259467040673212,0.1613636363636363,0.5695264995293129,1.0
Cohee/bart-factbook-summarization,0.0,0.5154683131483103,0.3866987829614605,0.4368316728561617,0.44697288077907826,4.0
lidiya/bart-large-xsum-samsum,0.0,0.5449072602013779,0.369527417027417,0.4441865394806571,0.4176372923615122,5.0
